Designator,Mid X,Mid Y,Rotation,Layer
 WS2815_6,114.0,-101.0,0.0,top
 WS2815_5,114.0,-52.0,180.0,top
 WS2815_4,100.4,-75.7,270.0,top
 WS2815_3,156.4,-76.7,90.0,top
 WS2815_2,142.0,-52.0,180.0,top
 WS2815,142.0,-100.0,0.0,top
100nF_6,105.5,-74.0,270.0,top
100nF_5,115.650053,-56.97472,180.0,top
100nF_4,113.0,-95.0,0.0,top
100nF_3,141.0,-95.0,0.0,top
100nF_2,144.225,-57.092394,180.0,top
100nF,151.0,-78.0,90.0,top
J1,87.767949,-51.5,150.0,top
J2,129.6,-35.5,270.0,top
J3,163.732051,-56.1,210.0,top
J4,164.032051,-94.8,150.0,top
J5,130.9,-116.5,90.0,top
J6,93.767949,-97.7,30.0,top
Primary,130.0,-67.69,270.0,top
Secondary,130.0,-80.0,270.0,top
